Disease,Gene,Inheritance,OMIM,T cells,B cells,Ig,Associated features,,
Polymerase δ deficiency ,POLD1,AR ,620836 ,Low CD4 T cells ,Low B cells but normal maturation ,Low IgG ,"Recurrent respiratory tract infections, skin infections, warts and molluscum, short stature, intellectual disability ",,
Polymerase δ deficiency ,POLD2,AR ,600815 ,,,,,,
Polymerase δ deficiency ,POLD3,AR ,620869 ,Low naïve CD4 T cells ,Normal ,"Low IgG and IgA, normal IgM, high IgE ",Recurrent infections and OS ,,
PRIM1 ,PRIM1,AR ,620005 ,Normal ,Low B cells ,Low or absent immunoglobulins ,"Prominent forehead, microcephaly, triangular face, hypertelorism, small low-set ears, flat nasal bridge, straight horizontal and bilateral cryptorchidism. Hepatic fibrosis, variable basal ganglia calcification. Growth failure. Recurrent pneumonias, GI and systemic infections. ↑ type I interferon signature ",,
RHOH deficiency ,RHOH,AR ,618307 ,"Normal, few naïve T cells, restricted repertoire, poor proliferation to CD3 ",Normal ,Normal ,"HPV infection, lung granulomas, molluscum contagiosum, lymphoma ",,
STK4 deficiency ,STK4,AR ,614868 ,"CD4 lymphopenia, reduced naïve T cells, increased TEM and TEMRA cells, poor proliferation ",Reduced memory B cells ,"Reduced IgM, increased IgG, IgA, IgE, impaired Ab responses ","Intermittent neutropenia, bacterial, viral (HPV, EBV, molluscum), candidal infections, lymphoproliferation, autoimmune cytopenias, lymphoma, congenital heart disease ",,
TCRα deficiency ,TRAC,AR ,615387 ,Absent TCRαβ except for a minor CD3-dim TCRαβ population; most T cells γδ; poor proliferation ,Normal ,Normal ,"Recurrent viral, bacterial, fungal infections, immune dysregulation and autoimmunity, diarrhea ",,
LCK deficiency ,LCK,AR ,615758 ,"Low CD4+, low Treg, restricted T-cell repertoire, poor TCR signaling ",Normal ,"Normal IgG and IgA, high IgM ","Recurrent infections, immune dysregulation, autoimmunity ",,
ITK deficiency ,ITK,AR ,613011 ,Progressive CD4 T-cell lymphopenia; reduced T-cell activation ,Normal ,Normal to low serum Ig ,"EBV-associated B-cell lymphoproliferation, lymphoma, immune dysregulation ",,
MALT1 deficiency ,MALT1,AR ,615468 ,"Normal number, poor proliferation ",Normal ,"Normal levels, poor specific antibody response ","Bacterial, fungal, and viral infections ",,
CARD11 deficiency ,CARD11,AR LOF ,615206 ,"Normal number, predominantly naïve T cells, poor proliferation ","Normal, transitional B-cell predominance ",Absent/low ,"PJP, bacterial and viral infections ",,
BCL10 deficiency ,BCL10,AR ,616098 ,"Normal number, few memory T and Treg cells, poor antigen and anti-CD3 proliferation ","Normal number, decreased memory and switched B cells ",Low ,"Recurrent bacterial and viral infections, candidiasis, gastroenteritis ",,
IL-21 deficiency ,IL21,AR ,615767 ,"Normal number, normal/low function ","Low, decreased memory and switched B cells ","Hypogammaglobulinemia, poor specific antibody responses, increased IgE ","Severe early-onset colitis, recurrent sinopulmonary infections ",,
IL-21R deficiency ,IL21R,AR ,615207 ,"Normal number, low cytokine production, poor antigen proliferation ","Normal, decreased memory and switched B cells ","Recurrent infections, P. jirovecii, Cryptosporidium infections, liver disease ",,,
OX40 deficiency ,TNFRSF4,AR ,615593 ,"Normal numbers, low antigen-specific memory CD4+ ","Normal numbers, low memory B cells ",Normal ,"Impaired immunity to HHV8, Kaposi’s sarcoma ",,
IKBKB deficiency ,IKBKB,AR ,615592 ,"Normal number, absent Treg and γ/δ T cells, impaired TCR activation ","Normal number, poor function ",Low ,"Recurrent bacterial, viral, fungal infections, opportunistic infections ",,
NIK deficiency ,MAP3K14,AR ,620449 ,"Normal number, poor proliferation to antigen ","Low, low switched memory B cells ",Low Ig’s ,"Low NK number and function, recurrent bacterial, viral, and Cryptosporidium infections ",,
RelB deficiency ,RELB,AR ,617585 ,"Normal number, poor diversity, reduced proliferation to mitogens, no response to Ag ",Marked increase in B-cell number ,Normal Ig levels but impaired specific antibody responses ,Recurrent infections ,,
Moesin deficiency ,MSN,XL ,300988 ,"Low number may improve over time, defective migration and proliferation ",Low number ,Low Ig’s over time ,"Recurrent infections with bacteria, varicella, neutropenia ",,
TFRC deficiency ,TFRC,AR ,616740 ,"Normal number, poor proliferation ","Normal number, low memory B cells ",Low ,"Recurrent infections, neutropenia, thrombocytopenia ",,
c-Rel deficiency ,REL,AR ,619652 ,"Normal, decreased memory CD4, poor proliferation ","Low, mostly naïve, few switched memory B cells, impaired proliferation ","Low, poor specific antibody responses ","Recurrent infections with bacteria, mycobacteria, Salmonella, and opportunistic organisms. Defective innate immunity ",,
FCHO1 deficiency ,FCHO1,AR ,619164 ,"Low, poor proliferation ",Normal number ,Normal ,"Recurrent infections (viral, mycobacterial, bacterial, fungal), lymphoproliferation, failure to thrive, increased activation-induced T-cell death, defective clathrin-mediated endocytosis ",,
PAX1 deficiency ,PAX1,AR ,615560 ,"Severe T-cell lymphopenia, low TRECs ",Normal number ,Normal ,"Omenn-like syndrome (erythroderma, lymphocytosis, eosinophilia, severe/recurrent infections), no thymus, T-cell deficiency not corrected by HSCT. Otofaciocervical syndrome type 2, ear abnormalities ",,
ITPKB deficiency ,ITPKB,AR ,NA ,Very few T cells ,Normal ,"Normal IgM, IgA; low IgG ","FTT, recurrent bacterial/fungal infections, pan-leukopenia, anemia, thrombocytopenia ",,
SASH3 deficiency ,SASH3,XL ,301082 ,T/NK cell lymphopenia ,B-cell lymphopenia ,"Low, poor specific antibody responses ","Recurrent sinopulmonary, cutaneous and mucosal infections, refractory autoimmune cytopenia/neutropenia ",,
MAN2B2 deficiency ,MAN2B2,AR ,NA ,Low T cells ,Low B cells ,Normal/low ,"Recurrent infections, vasculitis, arthritis, FTT, microcephaly, neurodevelopmental delay, congenital disorder of glycosylation ",,
COPG1 deficiency ,COPG1,AR ,620983 ,T-cell lymphopenia ,Normal ,Normal but poor Ig response to vaccines ,"Recurrent pneumonia, viral respiratory infections, chronic EBV, CMV viremia, FTT, bronchiectasis ",,
HELIOS deficiency ,IKZF2,AD,NA ,Increased activated T cells ,"Normal number, reduced memory ",Reduced ,"Recurrent upper respiratory infections/pneumonia, thrush, mucosal ulcers, chronic lymphadenopathy, SLE, ITP, AIHA (Evans syndrome), EBV-associated HLH, lymphoma ",,
IKKα deficiency ,CHUK,AR ,NA ,Normal ,Reduced ,Low ,"Recurrent bacterial, viral, fungal infections, absent secondary lymphoid tissues; skeletal abnormalities, FTT ",,
IRF4 multimorphic (IRF4 R95T) ,IRF4,AD-neomorph ,NA ,"Normal counts of circulating T cells; normal proportions of naïve, CM, EM, and TEMRA CD4+T cells, reduced TCM, TEM, TEMRACD8+T-cell proportions; low TH17 and TFHcells ",Reduced CD19+cells; increased naïve B cells; reduced class-switched memory B cells; decreased plasmablasts and plasma cells ,"Agammaglobulinemia or extremely low IgM, IgG, and IgA serum levels ","Early-onset recurrent sinopulmonary infections with P. jirovecii, pneumonia, severe viral disease (CMV and EBV), localized disease with weakly virulent (BCG vaccine) or pathogenic mycobacteria (Mycobacterium bovis), and chronic diarrhea ",,
Primary antibody deficiency/CID due to IRF4 variants ,IRF4,AD-neomorph ,NA ,"Lymphocytes, low naïve CD4 and CD8 T cell counts, and high terminal effector CD4 and CD8 T cell counts ",,,"Hypogammaglobulinemia, low IgM, IgG, and IgA serum levels, early gray hairing ",,
NFATC1 deficiency ,NFATC1,AR ,NA ,"Normal/increased proportions of CD8+T, lower proportions of naïve and TCMCD4+and CD8+T cells, increased TCMcells; lower proportions of Treg, TFH, TH1, TH2 ","Normal, low proportions of switched memory/increased proportions of naïve B cells ","Hypogammaglobulinemia, decreased or normal serum IgA, decreased serum IgG and IgM, low titers to pneumococcus and HBV vaccines ","Early-onset sinopulmonary infections with bronchiectasis. May present with recurrent warts, bacterial skin infections (folliculitis and abscesses). Scoliosis in 2 of 3 patients ",,
FOXI3 haploinsufficiency ,FOXI3,AD ,NA ,CD4 and CD8 T-cell lymphopenia ,Slightly decreased ,Normal ,"Abnormal TRECS, thymus hypoplasia; increased head circumference ",,
PSMB10-associated OS ,PSMB10,AD ,620807 ,"Low, skewed TCR repertoire. Low TRECs ",,,,,
Wiskott–Aldrich syndrome (WAS LOF) ,WAS,XL ,300392 ,"Progressive decrease in numbers, abnormal lymphocyte responses to anti-CD3 ",Normal numbers ,"Low IgM and antibody responses to polysaccharides, often high IgA and IgE ","Thrombocytopenia with small platelets, eczema, recurrent bacterial/viral infections, bloody diarrhea, lymphoma, autoimmune disease, IgA nephropathy. Patients with XL-thrombocytopenia have later onset of complications and more favorable life expectancy but eventually develop similar complications as observed in WAS ",,
WIP deficiency ,WIPF1,AR ,602357 ,"Reduced, defective lymphocyte responses to anti-CD3 ",Normal or low ,"Normal, except for high IgE ","Thrombocytopenia with or without small platelets, recurrent bacterial and viral infections, eczema, bloody diarrhea; WAS protein absent ",,
Arp2/3-mediated filament branching defect ,ARPC1B,AR ,604223 ,Normal ,Normal numbers ,Normal except for high IgA and IgE ,"Mild thrombocytopenia with normal-sized platelets, recurrent invasive infections; colitis, vasculitis, autoantibodies (ANA, ANCA), eosinophilia; defective Arp2/3 filament branching ",,
IKZF2 DN (ICHAD syndrome) ,IKZF2,AD ,606234 ,CD4 and CD8 T-cell lymphopenia with low TRECs ,Normal to low ,Normal or low. Response to vaccine antigen normal to low ,"Recurrent respiratory and ear infections, pneumonia, and chronic lung disease. Early-onset immune dysregulation (atopic dermatitis and AIHA) and syndromic features including developmental delay, autism, sensorineural hearing loss, cleft palate and syndromic craniofacial features, abnormal teeth, athelia (absent nipples) ",,
Ataxia–telangiectasia ,ATM,AR ,607585 ,"Progressive decrease, poor proliferation to mitogens; may have low TRECs and T cells by NBS ",Normal ,"Often low IgA, IgE, and IgG subclasses, increased IgM monomers; antibodies variably decreased ","Ataxia, telangiectasia especially of sclerae; pulmonary infections; lymphoreticular and other malignancies; increased alpha fetoprotein; increased radiosensitivity, chromosomal instability, and chromosomal translocations ",,
Nijmegen breakage syndrome ,NBN,AR ,602667 ,Progressive decrease; may have low TRECs and T cells by NBS ,Variably reduced ,"Often low IgA, IgE, and IgG subclasses, increased IgM; antibodies variably decreased ","Microcephaly, dysmorphic facies; lymphomas and solid tumors; increased radiosensitivity; chromosomal instability ",,
Bloom syndrome ,BLM,AR ,604610 ,Normal ,Normal ,Low ,"Short stature, dysmorphic facies, sun-sensitive erythema; marrow failure; leukemia, lymphoma; chromosomal instability ",,
"Immunodeficiency with centromeric instability and facial anomalies (ICF types 1, 2, 3, 4) ",DNMT3B,AR ,602900 ,"Decreased or normal, responses to PHA may be decreased ",Decreased or normal ,"Hypogammaglobulinemia or agammaglobulinemia, variable antibody deficiency ","Facial dysmorphic features, developmental delay, macroglossia; bacterial/opportunistic infections; malabsorption; cytopenias; malignancies; multiradial configurations of chromosomes 1, 9, 16 ",,
,ZBTB24,AR ,614064 ,Decreased or normal ,"Facial dysmorphic features, macroglossia; bacterial/opportunistic infections; malabsorption; cytopenias; malignancies; multiradial configurations of chromosomes 1, 9, 16 ",,,,
,CDCA7,AR ,609937 ,Decreased or normal; responses to PHA may be decreased ,,,,,
,HELLS,AR ,603946 ,Decreased or normal ,,,,,
PMS2 deficiency ,PMS2,AR ,600259 ,Normal ,"Low B cells, switched and nonswitched ","Low IgG and IgA, high IgM, abnormal antibody responses ","Recurrent infections; café-au-lait spots; lymphoma, colorectal carcinoma, brain tumors ",,
"RNF168 deficiency (radiosensitivity, immune deficiency, dysmorphic features, learning difficulties [RIDDLE] syndrome) ",RNF168,AR ,612688 ,Normal ,Normal ,Low IgG or IgA ,"Short stature, mild defect of motor control to ataxia; normal intelligence to learning difficulties; mild facial dysmorphism to microcephaly; increased radiosensitivity ",,
MCM4 deficiency ,MCM4,AR ,602638 ,Normal ,Normal ,Normal ,"NK cells: low number and function; viral infections (EBV, HSV, VZV); short stature; B-cell lymphoma; adrenal failure ",,
X-linked reticulate pigmentary disorder (POLA1 deficiency) ,POLA1,XL ,301220 ,Not assessed ,Not assessed ,Not assessed ,"Hyperpigmentation, characteristic facies, lung, and GI involvement. NK cell dysfunction. Recurrent viral infections. POLA1 is required for synthesis of cytosolic RNA:DNA; its deficiency leads to increased type I interferon; hypomorphic variants may present with hyperpigmentation and interferonopathy, without immunodeficiency ",,
POLE1 (polymerase ε subunit 1) deficiency (FILS syndrome) ,POLE1,AR ,174762 ,Normal; decreased T-cell proliferation ,Low memory B cells ,"Low IgG2 and IgM, lack of antibody to PPS ","Recurrent respiratory infections, meningitis; facial dysmorphism, livedo, short stature ",,
POLE2 (polymerase ε subunit 2) deficiency ,POLE2,AR ,602670 ,"Lymphopenia, lack of TRECS at NBS, absent proliferation in response to antigens ",Very low ,Hypogammaglobulinemia ,"Recurrent infections, disseminated BCG infections; autoimmunity (type 1 diabetes), hypothyroidism, facial dysmorphism ",,
Ligase I deficiency ,LIG1,AR ,126391 ,"Lymphopenia, increased γδ T cells, decreased mitogen response ",Normal ,"Hypogammaglobulinemia, Reduced antibody responses ","Recurrent bacterial and viral infections; growth retardation; sun sensitivity, radiation sensitivity; macrocytic red blood cells ",,
NSMCE3 deficiency ,NSMCE3,AR ,608243 ,"Decreased number, poor responses to mitogens and antigens ",Normal ,"Normal IgG, IgA, normal to elevated IgM; decreased antibody responses to PPS ","Severe lung disease (possibly viral); thymic hypoplasia; chromosomal breakage, radiation sensitivity ",,
ERCC6L2 (Hebo deficiency) ,ERCC6L2,AR ,615667 ,Lymphopenia ,Low ,Normal ,"Facial dysmorphism, microcephaly; bone marrow failure ",,
GINS1 deficiency ,GINS1,AR ,610608 ,Low or normal ,Low or normal ,"High IgA, low IgM, and IgG ",Neutropenia; IUGR; NK cells very low ,,
MCM10 deficiency ,MCM10,AR ,619313 ,Low or normal ,Low ,"Normal IgM, IgA, decreased IgG ","Severe (fatal) CMV infection, HLH-like, phenocopies GINS1 and MCM4 deficiencies; ↓ NK cells and NK function ",,
GINS4 deficiency ,GINS4,AR ,610611 ,Normal ,Normal ,Normal or increased ,"Low NK cell numbers and function, neutropenia, recurrent infections including CMV and varicella, and recurrent herpes labialis; recurrent otitis, sinusitis, gingivitis and oral abscesses, pneumonia, gastrointestinal sepsis, intermittent diarrhea, intrauterine growth restriction, growth delay, cryptorchidism, tonsillar hypertrophy, recurrent fever ",,
Rothmund–Thomson syndrome ,RECQL4,AR ,268400 ,Normal or low ,Normal or low ,Normal or low ,"Variable immunodeficiency, recurrent infections, poikiloderma, hyperkeratosis, hair, skeletal dental, and gastrointestinal abnormalities, growth delay, increased cancer risk, especially osteosarcoma ",,
TBX1 deficiency ,TBX1,AD ,602054 ,"Decreased or normal, may have low TRECs at NBS ",,,,,
CHARGE syndrome ,CHD7,AD ,608892 ,"Decreased or normal, may have low TRECs at NBS; response to PHA may be decreased ",Normal ,Normal or decreased ,"Coloboma of eye; heart anomaly; choanal atresia; intellectual disability; genital and ear anomalies, CNS malformation; some are SCID-like ",,
,SEMA3E,AD ,608166 ,,,,,,
Winged-helix nude FOXN1 deficiency ,FOXN1,AR ,601705 ,Very low ,Normal ,Decreased ,"Severe infections; abnormal thymic epithelium, immunodeficiency; congenital alopecia, nail dystrophy; neural tube defect ",,
FOXN1 haploinsufficiency or GOF ,FOXN1,AD ,600838 ,"Severe T-cell lymphopenia at birth, normalized by adulthood ",Normal/low ,Not assessed ,"Recurrent, viral, and bacterial respiratory tract infections; skin involvement (eczema, dermatitis), nail dystrophy ",,
Cartilage hair hypoplasia (CHH) ,RMRP,AR ,157660 ,Varies from severely decreased (SCID) to normal; impaired lymphocyte proliferation ,Normal ,"Normal or reduced, antibodies variably decreased ",Short-limbed dwarfism with metaphyseal dysostosis; sparse hair; bone marrow failure; autoimmunity; susceptibility to lymphoma and other cancers; impaired spermatogenesis; neuronal dysplasia of the intestine ,,
Schimke immuno-osseous dysplasia ,SMARCAL1,AR ,606622 ,Decreased ,Normal ,Normal ,"Short stature, spondyloepiphyseal dysplasia, IUGR; nephropathy; bacterial, viral, fungal infections; may present as SCID; bone marrow failure ",,
MYSM1 deficiency ,MYSM1,AR ,612176 ,"T-cell lymphopenia, reduced naïve T cells, low NK cells ",B-cell deficiency ,Hypogammaglobulinemia ,"Short stature; recurrent infections; congenital bone marrow failure, myelodysplasia; immunodeficiency affecting B cells and granulocytes; skeletal anomalies; cataracts; developmental delay ",,
MOPD1 deficiency (Roifman syndrome) ,RNU4ATAC,AR ,601428 ,Decreased NK cell function ,Decreased total and memory B cells ,"Hypogammaglobulinemia, variably decreased specific antibodies ","Recurrent bacterial infections; lymphadenopathy; spondyloepiphyseal dysplasia, extreme IUGR; retinal dystrophy; facial dysmorphism; may present with microcephaly; short stature ",,
Immunoskeletal dysplasia with neurodevelopmental abnormalities (EXTL3 deficiency) ,EXTL3,AR ,617425 ,Decreased ,Normal ,Decreased or normal ,"Short stature; cervical spinal stenosis, neurodevelopmental impairment; eosinophilia; may have early infant mortality ",,
AD-HIES STAT3 deficiency (Job syndrome) ,STAT3,AD LOF (dominant negative) ,147060 ,"Normal overall; Th17, T follicular helper, MAIT, NKT cells decreased, Tregs may be increased; impaired responses to STAT3-activating cytokines ","Normal, reduced memory B cells, BAFF expression increased, impaired responses to STAT3-activating cytokines ","Very high IgE, specific antibody production decreased ","Distinctive facial features (broad nasal bridge); bacterial infections (boils, pulmonary abscesses, pneumatoceles) due to Staphylococcusaureus, secondary pulmonary aspergillosis, PJP; eczema, chronic mucocutaneous candidiasis (CMC); impaired acute phase response, hyperextensible joints, osteoporosis and bone fractures, scoliosis, retained primary teeth; coronary and cerebral aneurysms ",,
IL-6 receptor deficiency ,IL6R,AR ,147880 ,"Normal/increased, increased memory Th2 cells; reduced proportions of cTFh cells; normal responses to mitogens ",Normal total and memory B; reduced switched memory B ,"Normal/low serum IgM, IgG, A. Very high IgE; specific antibody production low ","Atopic dermatitis (eczema), reduced inflammatory responses, recurrent skin and lung pyogenic bacterial infections, cold abscesses; high circulating IL-6 levels ",,
IL-6 signal transducer (IL-6ST) partial deficiency ,IL6ST,AR ,618523 ,Normal Th17 cells ,Reduced switched and nonswitched memory B cells ,"High IgE, specific antibody production variably affected ","Eczema, bacterial infections, boils, recurrent respiratory tract infections (including pneumonia, bronchiectasis) pulmonary abscesses; eosinophilia; pneumatoceles; bone fractures; retention of primary teeth; craniosynostosis; scoliosis, impaired acute phase responses ",,
IL-6ST complete deficiency ,IL6ST,AR ,619751 ,ND; death in utero or in neonatal period occurred for most affected individuals ,"Fatal Stuve–Wiedemann-like syndrome; skeletal dysplasia, osteoporosis, hyperextensibility, lung dysfunction, renal abnormalities, thrombocytopenia, dermatitis, eczema. Defective acute phase response. Completely unresponsive to IL-6 family cytokines ",,,,
ZNF341 deficiency,ZNF341,AR ,618282 ,Decreased Th17 proportion and low NK cell counts,"Normal, reduced memory B cells, impaired responses to STAT3-activating cytokines ","High IgE and IgG, normal or subnormal specific antibody production ","Phenocopy of AD-HIES; atopic dermatitis/eczema, bacterial skin infections and abscesses (S. aureus), recurrent respiratory infections, lung abscesses and pneumatoceles; CMC; mild eosinophilia; mild facial dysmorphism; skeletal/connective tissue abnormalities (hyperextensible joints; bone fractures, retention of primary teeth) ",,
ERBIN deficiency ,ERBIN,AD ,606944 ,Increased circulating Treg ,Normal ,Moderately increased IgE ,"Recurrent respiratory infections, susceptibility to S. aureus, eczema; hyperextensible joints, scoliosis; arterial dilatation in some patients ",,
Loeys–Dietz syndrome (TGFBR deficiency) ,TGFBR1,AD ,609192 ,Normal ,Normal ,Elevated IgE ,"Recurrent respiratory infections; eczema, food allergies; hyperextensible joints, scoliosis, retention of primary teeth; aortic aneurisms ",,
,TGFBR2,,610168 ,,,,,,
,SMAD3,,613795 ,,,,,,
Comel–Netherton syndrome ,SPINK5,AR ,605010 ,Normal ,"Normal numbers, low switched and nonswitched B cells ","High IgE and IgA, antibody variably decreased ","Congenital ichthyosis, bamboo hair, atopic diathesis; severe atopic manifestations, increased bacterial infections; failure to thrive ",,
PGM3 deficiency ,PGM3,AR ,172100 ,CD8 and CD4 T cells may be decreased ,Low B and memory B cells ,"Normal or elevated IgG and IgA, most with high IgE, eosinophilia ","Severe eczema; autoimmunity; bacterial (S. aureus) and viral infections; recurrent skin abscesses, otitis media, recurrent respiratory tract infection (pneumonia, bronchiectasis); candidiasis; eosinophilia; neutropenia; skeletal anomalies/dysplasia (joint hypermotility and aneurism formation): short stature, brachydactyly, dysmorphic facial features; mild intellectual disability and cognitive impairment, delayed CNS myelination in some affected individuals. Failure to thrive ",,
CARD11 deficiency (heterozygous DN) ,CARD11,AD LOF ,617638 ,"Normal number, but defective T-cell activation and proliferation. Skewing toward Th2 ",Normal to low ,"High IgE, poor specific antibody production; impaired activation of both NF-κB and mTORC1 pathways ","Variable atopy, eczema, food allergies, eosinophilia; cutaneous viral infections, recurrent respiratory infections; lymphoma; CID ",,
STAT6 GOF ,STAT6,AD GOF ,620532 ,Normal numbers. T cells show Th2 skewing ,Normal ,"High IgE, normal IgG ","Early-onset severe allergic diseases, resistant atopic dermatitis, eosinophilic GI disease with reflux, dysphagia, and eosinophilic esophagitis, food allergies with anaphylaxis, asthma with interstitial lung disease and bronchiectasis. Eosinophilia. Recurrent skin and respiratory bacterial, viral, and fungal infections in ∼50%. Short stature, skeletal features ",,
Transcobalamin 2 deficiency ,TCN2,AR ,613441 ,Normal ,Variable ,Decreased ,"Megaloblastic anemia, pancytopenia; if untreated (B12) for prolonged periods results in intellectual disability ",,
SLC46A1/PCFT deficiency causing hereditary folate malabsorption ,SLC46A1,AR ,229050 ,Variable numbers and activation profile ,Variable ,Decreased ,"Megaloblastic anemia, failure to thrive; if untreated for prolonged periods results in intellectual disability ",,
